; Character Name Pointer Table

; Male (Human/Demihuman)
0x8D5C	Abel
0x9F0E	Gwynn(F)
0xA334	Haine
0xA3FE	Hanako
0xA340	Hanna
0xA4B1	Heather
0xA32E	Heidy
0xA4CB	Helen(F)
0xA4C4	Helene(F)
0xA4BE	Hella
0xA4B9	Hess
0xA3E3	Hilda
0xA539	Holline
0xA533	Holly
0xA33A	Honey
0x9CC9	Iella
0x9CE4	Inaffa
0x9CCF	Iona
0x9CDD	Isabel
0x9CD4	Isabella
0x9BB6	Ivory
0xA0D8	Jackie
0xA098	Jane
0xA0DF	Janet
0xA0E5	Janu
0xA0D0	Jasmine
0xA093	Jean(F)
0xA0B4	Jennifer
0xA0AB	Jennique
0xA0A5	Jenny
0xA09D	Jessica
0xA0EF	Jewel
0xA136	Jill
0xA0CA	Jinny
0xA115	Joann
0xA10E	Joanna
0xA128	Jobeth
0xA123	Jody
0xA12F	Joleen
0xA11B	Josepha
0xA0F5	Judy
0xA0FF	Julia
0xA105	Juliette
0xA0FA	July
0xA0EA	June
0x9E8D	Kablee
0x9E25	Kachua
0x9E1B	Kamiya
0x9E16	Kana
0x9E5A	Kanna
0x9E54	Karen
0x9E10	Kasha
0x9F31	Kate
0x9E34	Katoleya
0x9E2C	Katrine
0x9F28	Kay
0x9F36	Kemy
0x9E6C	Kiche
0x9E78	Kiddy
0x9E67	Kiki
0x9EB0	Kilala
0x9E7E	Kim
0x9E72	Kitty
0x9F3B	Koko
0x9F73	Kologne
0x9EE1	Kris(F)
0x9EE6	Kristin
0x9EEE	Kristina
0x9EF7	Kristine
0x9ECC	Kurara
0x9E22	Ky
0xA754	Lala
0xA748	Lamia
0xA743	Lana
0xA71D	Laura
0xA879	Laura(2)
0xA886	Laurelei
0xA87F	Laurie(F)
0xA809	Layla
0xA828	Leda
0xA765	Leena
0xA863	Lemon
0xA85E	Lemy
0xA846	Lena
0xA850	Lenox
0xA84B	Leny
0xA814	Leona
0xA822	Lesly
0xA838	Letia
0xA83E	Leticia
0xA831	Letton
0xA82D	Lex
0xA80F	Leya
0xA75E	Liecia
0xA76B	Lifa
0xA7AB	Liff
0xA7C3	Lilia
0xA7C9	Lilian
0xA7BE	Lily
0xA7A6	Lina
0xA7D0	Linda
0xA799	Lipps
0xA770	Lisa
0xA775	Lisalisa
0xA784	Liz
0x9D87	Liza
0xA723	Liza(2)
0xA759	Liza(3)
0xA18B	Lolita
0xA8A9	Lolita(2)
0xA8A4	Lony
0xA7D6	Losa
0xA7DB	Lucy
0xA7F2	Lulu
0xA200	Lum
0xA7ED	Luna
0xA72E	Lyla
0xA5AC	Mable
0xA5D6	Madel
0xA5BD	Maggy
0xA2E1	Maina
0xA5C3	Mako
0xA5F3	Maleen
0xA5EB	Maleena
0xA5FA	Malia
0xA600	Malian
0xA60E	Malina
0xA622	Malone(F)
0xA5DC	Mana
0xA632	Mandy
0xA629	Mangella
0xA598	Marge
0xA58B	Margo
0xA583	Margret
0xA5E5	Marie
0xA615	Marilyn
0xA607	Marion
0xA59E	Marjory
0xA5A6	Marna
0xA591	Martha
0xA5C8	Mashu
0xA5CE	Matilda
0xA5E1	May
0xA6BA	May(2)
0xA5B2	Maya(F)
0xA901	Maytal
0xA6BE	Meg
0xA6C8	Mel
0xA4F9	Melanie
0xA6D2	Melissa
0xA6DA	Melmo
0xA6E0	Melody
0xA6CC	Meria
0xA6B4	Merry
0xA6C2	Mesha
0xA643	Michelle(F)
0xA652	Midora
0xA6A1	Milenu
0xA69B	Milky
0xA6A8	Milleu
0xA693	Millika
0xA670	Mimi
0xA63E	Mina
0xA65E	Minea
0xA664	Minerva
0xA6AF	Mint
0xA659	Miny
0xA67E	Miranda
0xA686	Miria
0xA68C	Miriam
0xA638	Misha
0xA64C	Misty
0xA6F6	Moddy
0xA6F2	Moe
0xA5B7	Molly
0xA6EC	Molly(2)
0xA6E7	Moma
0xA703	Momo
0xA6FC	Monica
0xA679	Muse
0xA66C	Myn
0xA675	Myu
0xA2F8	Nana
0xA2FD	Nancy
0xA2F0	Natalie
0xA2E7	Natashia
0xA314	Nena
0xA30F	Newt
0xA319	Ney
0xA308	Nikita
0xA303	Nina
0xA323	Nora
0xA328	Noran
0xA31D	Norma
0x9DE3	Ohara
0x9E06	Olfa
0x9E0B	Olfe
0x9DF1	Olive
0x9DF7	Olivia
0x9DFE	Olivian
0x9DE9	Ophelia
0x9DD5	Ora
0x9DD9	Oray
0x9DDE	Ozma
0xA3C6	Pablowa
0xA3A4	Packy
0xA50E	Paisley
0xA3CE	Pamela
0xA3DB	Pandora(F)
0xA3D5	Pansy
0xA38F	Panya
0xA3BF	Papaya
0xA389	Parsa
0xA39D	Pastel
0xA3B6	Patricia
0xA3AA	Patsy
0xA3B0	Patty
0xA54F	Paula
0xA433	Paulette
0xA52C	Peline
0xA51C	Penelope
0xA525	Pepper
0xA516	Pette
0xA491	Plum
0xA4AA	Plumia
0xA555	Poannu
0xA55C	Pockle
0xA56F	Policia
0xA577	Polly
0xA57D	Polyn
0xA56A	Pony
0xA395	Porsche
0xA547	Porsche(2)
0xA563	Potato
0xA496	Prim
0xA49B	Primera
0xA486	Puchy
0xA4A3	Puddin
0xA48C	Puti
0x9EB7	Queen
0xA801	Rachael
0xA74E	Ramda
0xA73A	Rasberry
0xA856	Rebecca
0xA77E	Reesa
0xA7FB	Reika
0xA7B0	Repree
0xA81A	Rexanne
0xA7F7	Rey
0xA8B8	Rhonda
0xA728	Rhyme
0xA78D	Ricky
0xA79F	Riddle
0xA7B7	Ripple
0xA793	Rippy
0xA61D	Rita
0xA788	Rita(2)
0xA873	Rodia
0xA8B0	Roletta
0xA869	Rosa
0xA88F	Rosanne
0xA86E	Rose
0xA897	Rose(2)
0xA89C	Rosetta
0xA7E6	Rouche
0xA7E0	Rouge
0xA733	Rylack
0x9F95	Sabrina
0xA032	Sade
0x9FB0	Salada
0x9FB7	Sally
0x9FBD	Salome
0x9F9D	Samantha
0xA176	Sanae
0x9FCA	Sandora
0x9FC4	Sandy
0x9F8D	Sapphia
0x9FAB	Sara
0x9F87	Sarah
0x9F81	Sasha
0x9FA6	Saya
0xA151	Scarlet
0xA1AB	Seleena
0xA1BA	Selphie
0xA1CA	Sentia
0xA1A6	Sess
0xA197	Seyla
0x9FE0	Seymore
0xA045	Shalene
0xA037	Shally
0xA03E	Shally(2)
0xA04D	Sharon
0xA002	Shasta
0xA060	Shawn
0x9FE8	Sheela
0x9FEF	Sheels
0x9FD9	Sheema
0x9FD2	Sheeta
0xA467	Shelby
0xA017	Shell
0xA009	Sherry
0x9FFB	Shesta
0xA07A	Shinsha
0xA05A	Shoko
0xA066	Silky
0xA073	Silvia
0xA024	Simona
0xA01D	Simone
0xA02B	Simonu
0xA1D9	Sophia
0xA1D1	Sophine
0xA170	Stacy
0xA169	Stasha
0xA184	Stella
0xA17C	Stephan
0xA142	Sue
0xA054	Sugar
0xA146	Susan
0xA159	Suzanna
0xA161	Suzanne
0xA14C	Suzy
0xA192	Swan
0x9FF6	Sylb
0xA06C	Sylphy
0xA1E5	Tabasa
0xA226	Teetia
0xA287	Teresa
0xA282	Tess
0xA22D	Tia
0xA231	Tiara
0xA27C	Ticia
0xA242	Tiffany
0xA263	Tilala
0xA24A	Timmy
0xA254	Timote
0xA26A	Tin
0xA23D	Tina
0xA26E	Tinker
0xA275	Tinkle
0xA25B	Tiramis
0xA237	Titis
0xA2BF	Tracy
0xA250	Tyn
0xA8D6	Valle
0xA8DC	Vallery
0xA8D0	Valna
0xA8C8	Vanessa
0xA376	Vanilla
0xA370	Vanny
0xA917	Velvet
0xA8E4	Venus
0xA501	Veronica
0xA91E	Veronica(2)
0xA908	Vessaly
0xA910	Vessel
0xA3F8	Vicky
0xA3EF	Victoria
0xA8F0	Vidi
0xA8EA	Viola
0xA367	Violette
0xA8BF	Violette(2)
0xA8F5	Vivi
0xA8FA	Vivian
0xA3E9	Vylls
0x9D00	Weave
0x9D06	Wendy
0x9CFB	Wink
0xA35B	Yasuko
0xA718	Yoko
0xA708	Yuki
0xA088	Yuko
0xA712	Yulia
0xA70D	Yuma
0xA1E0	Zora

; Large Characters
0xAA25	Acios
0xAA12	Actaios
0xAA38	Adometah
0xAA41	Adonis
0xA9F1	Aello
0xAA04	Aggamem
0xAA1A	Agron
0xA9FD	Akakos
0xA9F7	Akaya
0xAA20	Akos
0xAA8E	Alcas
0xAA94	Alchadia
0xAAC2	Aleos
0xAAA5	Algeya
0xAA7F	Amumon
0xAA76	Amuperos
0xAA50	Analisa
0xAA58	Anios
0xAAD0	Antigone
0xAA64	Apemoche
0xAA86	Arachne
0xAA9D	Archeme
0xAAAC	Argo
0xAA0C	Arkys
0xAA6D	Armaltia
0xAAB9	Arpeggio
0xAA5E	Arpis
0xAAB1	Arsnova
0xAA2B	Ascala
0xAA32	Atise
0xAA48	Atropos
0xA9DC	Augeya
0xA9E3	Auson
0xA9E9	Automed
0xA92E	Aya(L)
0xA932	Ayars
0xA953	Aygayo
0xA99B	Aygeus
0xA95A	Aygiare
0xA981	Aygimios
0xA971	Aygina
0xA978	Aygipaln
0xA962	Aygis
0xA968	Aygistos
0xA993	Ayguley
0xA98A	Ayguptos
0xA9D5	Ayneas
0xA938	Ayolia
0xA93F	Ayolidas
0xA948	Ayoros
0xA9A8	Aysacos
0xA9A2	Aysar
0xA9B0	Ayson
0xA9B6	Aytilla
0xA9CF	Ayton
0xA9BE	Aytonea
0xA9C6	Aytorros
0xB225	Baalock
0xB1CF	Bacchus
0xB1B8	Bakis
0xB206	Banpos
0xB1A6	Baupo
0xB491	Belekyun
0xB49A	Belleclo
0xB4D5	Bendius
0xB4C7	Berona
0xB4C1	Beros
0xB366	Bleuron
0xB35E	Bleyone
0xB345	Blizo
0xB500	Bokos
0xB4B2	Boleboya
0xB551	Bolias
0xB524	Bonadea
0xB52C	Bonus
0xB4F4	Bonyx
0xB506	Bospolos
0xB4EE	Boyas
0xB4FA	Boyne
0xB3B4	Brontes
0xB310	Buchi
0xAD1F	Calkas
0xAD07	Callysto
0xAF11	Celestos
0xADC4	Cleobis
0xADFE	Cleos
0xAF6A	Dabne
0xAF43	Dagges
0xAF2C	Daidaros
0xAF8E	Daldanos
0xAF70	Damiya
0xAF56	Danae
0xAFB1	Dante
0xAF3C	Daunus
0xAFBE	Deadia
0xAFB7	Deashu
0xAFED	Deedh
0xB02D	Degelos
0xAFD9	Deies
0xB099	Delbos
0xB092	Delboy
0xB077	Delkynos
0xB0A0	Delmynus
0xB002	Deukalyo
0xAFF3	Diamkos
0xAF35	Diamos
0xAFDF	Dikkey
0xAFFB	Dilkay
0xB0BD	Dodona
0xB0DD	Doriuas
0xB0E5	Doryuoppe
0xABEC	Ecohe
0xABE5	Egilla
0xAAD9	Eiera
0xAB72	Eilenna
0xABDE	Eketos
0xABD8	Ekion
0xAC3B	Elpenol
0xAC19	Ematis
0xAC4A	Enkera
0xABF2	Ennypeu
0xABD4	Eos
0xABFA	Epavos
0xAC11	Epellio
0xAC08	Epigonoi
0xAC01	Epione
0xAC20	Eratto
0xAC27	Erattos
0xAC43	Erebos
0xAC2F	Erias
0xAC35	Erisa
0xAB7A	Euadonne
0xABAD	Eubreo
0xAB83	Euenos
0xAB8A	Eukenoru
0xAB9C	Eunomos
0xABA4	Eupalamo
0xABB4	Eupemos
0xABBC	Eupolpo
0xABCC	Europpe
0xABC4	Euryuna
0xAB93	Euterepe
0xB2D9	Fahma
0xB2DF	Fahmes
0xB2D3	Fauna
0xB352	Flina
0xB2F9	Foashbil
0xB302	Forrus
0xB32E	Furia
0xACFE	Galatius
0xAD16	Gallinti
0xACD1	Ganyume
0xACF7	Garais
0xAD33	Garreo
0xADE0	Gekko
0xADEE	Gerranna
0xAD40	Gigas
0xAB6C	Gokuh
0xAE25	Gorgon
0xAD95	Gratia
0xAD8E	Grauke
0xADBC	Grynpus
0xAD46	Gyuas
0xB1E1	Hardes
0xB216	Harriala
0xB3E3	Hecuba
0xB3D1	Hegabeh
0xB462	Helcilia
0xB439	Helegos
0xB4BB	Helen(L)
0xB4AB	Helene(L)
0xB4A3	Helenos
0xB448	Helike
0xB441	Helios
0xB484	Helma
0xB419	Hemella
0xB411	Hemitea
0xB430	Heracles
0xB3D9	Hercamede
